,card_name,card_rarity,card_number,market_price,median_price
11273,Baltoy,Common,53,0.36,0.40
11274,Barboach,Common,54,0.35,0.50
11275,Beautifly,Holo Rare,2,6.78,
11276,Beldum,Common,55,0.29,0.27
11277,Boost Energy,Uncommon,93,0.68,0.85
11278,Breloom,Holo Rare,3,4.88,
11279,Camerupt,Holo Rare,4,5.77,
11280,Carvanha,Common,56,0.46,0.70
11281,Claydol,Holo Rare,5,3.53,
11282,Corphish,Common,57,0.35,0.76
11283,Crawdaunt,Holo Rare,6,7.37,
11284,Crobat ex,Ultra Rare,96,52.98,
11285,Crystal Shard,Uncommon,85,0.49,0.49
11286,Deoxys (Attack Forme),Rare,17,2.61,5.95
11287,Deoxys (Defense Forme),Rare,18,2.02,3.58
11288,Deoxys (Normal Forme),Rare,16,1.43,4.96
11289,Deoxys ex (Attack Forme),Ultra Rare,98,38.35,
11290,Deoxys ex (Defense Forme),Ultra Rare,99,59.99,
11291,Deoxys ex (Normal Forme),Ultra Rare,97,150.00,
11292,Donphan,Uncommon,30,0.63,0.50
11293,Dusclops,Holo Rare,7,3.46,
11294,Duskull,Common,58,0.29,0.41
11295,Electrike,Common,60,0.31,0.30
11296,Electrike (59),Common,59,0.35,0.40
11297,Energy Charge,Uncommon,86,0.77,0.89
11298,Golbat,Uncommon,31,0.86,0.80
11299,Goldeen,Common,61,0.43,0.38
11300,Grumpig,Uncommon,32,0.48,0.40
11301,Gyarados,Holo Rare,8,11.16,
11302,Hariyama ex,Ultra Rare,100,54.74,
11303,Heal Energy,Uncommon,94,3.20,3.21
11304,Jirachi,Holo Rare,9,67.47,
11305,Koffing,Common,62,0.49,0.51
11306,Lady Outing,Uncommon,87,0.51,0.79
11307,Latias Star,Ultra Rare,105,,
11308,Latios Star,Ultra Rare,106,375.22,
11309,Lombre (33),Uncommon,33,1.52,4.09
11310,Lombre (34),Uncommon,34,0.50,0.62
11311,Lotad (35),Uncommon,35,1.19,1.91
11312,Lotad (63),Common,63,0.34,0.34
11313,Ludicolo (10),Holo Rare,10,11.49,
11314,Ludicolo (19),Rare,19,0.95,0.70
11315,Lunatone,Uncommon,36,0.90,1.39
11316,Magcargo (20),Rare,20,2.48,2.75
11317,Magcargo (37),Uncommon,37,0.50,0.91
11318,Magikarp,Common,64,1.04,1.24
11319,Makuhita,Common,65,0.34,0.36
11320,Manectric,Uncommon,38,0.55,0.50
11321,Manectric ex,Ultra Rare,101,77.99,
11322,Masquerain,Uncommon,39,0.39,0.96
11323,Master Ball,Uncommon,88,0.67,0.66
11324,Metagross,Holo Rare,11,10.05,
11325,Metang,Uncommon,40,0.33,0.50
11326,Meteor Falls,Uncommon,89,0.50,0.75
11327,Mightyena,Holo Rare,12,7.67,
11328,Minun,Uncommon,41,0.96,2.99
11329,Natu,Common,66,0.29,0.29
11330,Nincada,Common,67,0.27,0.27
11331,Ninjask,Holo Rare,13,3.71,
11332,Nosepass,Uncommon,42,0.43,0.49
11333,Numel,Common,68,0.27,0.32
11334,Nuzleaf,Uncommon,43,0.40,0.43
11335,Pelipper,Rare,21,0.69,0.65
11336,Phanpy,Common,69,0.60,0.67
11337,Plusle,Uncommon,44,2.37,14.36
11338,Poochyena,Common,70,0.39,0.99
11339,Professor Cozmo's Discovery,Uncommon,90,0.37,0.49
11340,Rayquaza,Rare,22,6.32,6.99
11341,Rayquaza ex,Ultra Rare,102,224.98,
11342,Rayquaza Star,Ultra Rare,107,961.46,
11343,Rocket's Raikou ex,Secret Rare,108,60.00,
11344,Sableye,Rare,23,1.33,0.90
11345,Salamence ex,Ultra Rare,103,73.50,
11346,Scramble Energy,Uncommon,95,5.11,6.88
11347,Seaking,Rare,24,0.59,0.67
11348,Seedot,Common,71,0.26,0.30
11349,Sharpedo ex,Ultra Rare,104,99.95,
11350,Shedinja,Holo Rare,14,9.09,
11351,Shelgon,Uncommon,45,0.58,0.77
11352,Shiftry,Rare,25,0.45,0.63
11353,Shroomish,Common,72,0.39,0.50
11354,Silcoon,Uncommon,46,0.48,0.84
11355,Skarmory,Rare,26,0.51,0.78
11356,Slaking,Holo Rare,15,5.99,
11357,Slakoth,Common,73,1.32,1.56
11358,Slugma (74),Common,74,0.83,0.99
11359,Slugma (75),Common,75,0.39,0.76
11360,Solrock,Uncommon,47,0.74,2.74
11361,Space Center,Uncommon,91,1.74,4.49
11362,Spoink,Common,76,0.27,0.35
11363,Starmie,Uncommon,48,0.71,6.50
11364,Staryu,Common,77,0.37,0.47
11365,Strength Charm,Uncommon,92,0.50,0.53
11366,Surskit,Common,78,0.31,0.35
11367,Swablu,Common,79,0.37,0.42
11368,Swellow,Uncommon,49,0.40,0.48
11369,Taillow,Common,80,0.29,0.37
11370,Tropius,Rare,27,0.45,1.99
11371,Vigoroth,Uncommon,50,1.22,1.99
11372,Weezing,Uncommon,51,0.98,1.49
11373,Whiscash,Rare,28,0.62,0.64
11374,Wingull,Common,81,0.30,0.47
11375,Wurmple,Common,82,0.42,0.46
11376,Xatu,Rare,29,0.90,0.72
11377,Zubat,Common,83,0.36,0.75
11378,Ancient Tomb,Uncommon,87,,"56,987.00"
11379,Blaziken,Rare,3,4.46,28.62
11380,Blaziken (Holo),Holo Rare,3,8.89,
11381,Camerupt,Uncommon,24,1.00,2.25
11382,Celio's Network,Uncommon,88,0.50,9.76
11383,Combusken,Uncommon,25,0.95,2.00
11384,Cyndaquil,Common,59,3.40,3.99
11385,Delcatty,Uncommon,29,0.50,1.49
11386,Double Full Heal,Uncommon,86,0.50,0.50
11387,Dunsparce,Common,60,2.60,8.76
11388,Eevee,Common,63,7.86,7.93
11389,Energy Removal 2,Uncommon,80,,2.00
11390,Energy Search,Uncommon,90,0.08,0.18
11391,Energy Search,Uncommon,89,,0.25
11392,Espeon,Rare,16,2.37,2.17
11393,Fighting Energy,Common,105,0.09,0.93
11394,Fire Energy,Common,108,0.27,0.28
11395,Gardevoir,Rare,7,3.47,4.25
11396,Gardevoir (Holo),Holo Rare,7,12.71,
11397,Goldeen,Common,55,0.49,0.45
11398,Hariyama,Uncommon,33,,3.00
11399,High Pressure System,Uncommon,85,2.88,3.46
11400,Horsea,Common,58,0.50,0.89
11401,Jigglypuff,Common,63,2.00,2.26
11402,Kirlia,Uncommon,34,4.48,15.00
11403,Life Herb,Uncommon,93,,5.00
11404,Makuhita,Common,57,0.18,0.99
11405,Medicham,Uncommon,42,,3.73
11406,Meditite,Common,65,0.30,1.25
11407,Metal Energy (Special) - 94/109,Rare,94/109,,3.89
11408,Natu,Common,69,0.48,2.79
11409,Numel (61),Common,61,,1.90
11410,Numel (69),Common,69,0.20,0.50
11411,Onix,Common,71,,10.00
11412,Potion,Uncommon,91,0.10,0.20
11413,Professor Birch,Uncommon,89,,1.00
11414,Psychic Energy,Common,107,,0.46
11415,Quilava,Uncommon,51,9.99,"34,715.34"
11416,Ralts,Common,74,2.00,
11417,Seadra,Uncommon,39,0.39,1.21
11418,Seaking,Rare,21,2.09,4.99
11419,Skitty,Common,79,1.22,1.21
11420,Swellow,Uncommon,46,0.39,5.00
11421,Taillow,Common,72,0.23,1.50
11422,Torchic,Common,73,0.12,0.40
11423,TV Reporter,Uncommon,88,,2.00
11424,Wally's Training,Uncommon,89,1.70,3.00
11425,Warp Point,Uncommon,88,,2.78
11426,Water Energy,Common,106,,0.85
11427,Xatu,Uncommon,55,0.49,1.25
11428,Mudkip,Promo,4,,649.98
11429,Pikachu,Promo,5,4.99,
11430,Torchic,Promo,3,150.00,
11431,Treecko,Promo,1,,499.99
11432,Wurmple,Promo,2,60.00,801.95
11433,Absol,Secret Rare,96,75.99,
11434,Aqua Energy,Uncommon,86,1.38,3.44
11435,Archie,Uncommon,71,1.66,2.67
11436,Blaziken ex,Ultra Rare,89,149.99,
11437,Bulbasaur,Common,39,9.41,10.25
11438,Cradily ex,Ultra Rare,90,54.13,
11439,Cubone,Common,40,3.17,6.10
11440,Double Rainbow Energy,Rare,88,12.03,11.99
11441,Dual Ball,Uncommon,72,0.58,0.99
11442,Entei ex,Ultra Rare,91,80.00,
11443,Jigglypuff,Common,41,1.35,1.40
11444,Jirachi,Secret Rare,97,50.89,
11445,Magma Energy,Uncommon,87,2.56,4.49
11446,Maxie,Uncommon,73,2.51,3.01
11447,Meowth,Common,42,0.70,0.85
11448,Pikachu,Common,43,4.63,4.15
11449,Psyduck,Common,44,2.48,1.99
11450,Raichu,Rare,13,5.27,10.97
11451,Raikou ex,Ultra Rare,92,59.98,
11452,Sceptile ex,Ultra Rare,93,129.97,
11453,Slowpoke,Common,45,1.98,1.79
11454,Squirtle,Common,46,6.07,11.97
11455,Strength Charm,Uncommon,74,0.50,0.75
11456,Suicune ex,Ultra Rare,94,127.70,
11457,Swampert ex,Ultra Rare,95,109.50,
11458,Team Aqua Ball,Uncommon,75,0.69,0.73
11459,Team Aqua Belt,Uncommon,76,1.17,1.97
11460,Team Aqua Conspirator,Uncommon,77,0.55,0.50
11461,Team Aqua Hideout,Uncommon,78,0.52,0.49
11462,Team Aqua Schemer,Uncommon,69,0.34,0.39
11463,Team Aqua Technical Machine 01,Uncommon,79,0.90,1.30
11464,Team Aqua's Cacnea - 24/95,Uncommon,24/95,0.77,1.99
11465,Team Aqua's Cacturne,Holo Rare,1,17.49,
11466,Team Aqua's Carvanha (25),Uncommon,25,1.75,2.22
11467,Team Aqua's Carvanha (47),Common,47,0.53,0.60
11468,Team Aqua's Carvanha (48),Common,48,0.45,0.40
11469,Team Aqua's Chinchou,Common,49,0.41,0.38
11470,Team Aqua's Corphish (26),Uncommon,26,0.84,0.78
11471,Team Aqua's Corphish (50),Common,50,0.62,0.72
11472,Team Aqua's Corphish (51),Common,51,1.50,1.49
11473,Team Aqua's Crawdaunt (14),Rare,14,1.19,1.40
11474,Team Aqua's Crawdaunt (2),Holo Rare,2,11.09,
11475,Team Aqua's Electrike (27),Uncommon,27,0.61,1.27
11476,Team Aqua's Electrike (52),Common,52,0.48,0.88
11477,Team Aqua's Electrike (53),Common,53,0.60,1.49
11478,Team Aqua's Kyogre,Holo Rare,3,29.18,
11479,Team Aqua's Lanturn,Uncommon,28,0.56,0.49
11480,Team Aqua's Manectric (29),Uncommon,29,1.99,1.99
11481,Team Aqua's Manectric (4),Holo Rare,4,17.68,
11482,Team Aqua's Mightyena (15),Rare,15,0.63,0.85
11483,Team Aqua's Mightyena (30),Uncommon,30,0.67,0.75
11484,Team Aqua's Poochyena (54),Common,54,0.29,0.33
11485,Team Aqua's Poochyena (55),Common,55,0.74,0.77
11486,Team Aqua's Sealeo (16),Rare,16,1.02,1.20
11487,Team Aqua's Sealeo (31),Uncommon,31,0.39,0.63
11488,Team Aqua's Seviper,Rare,17,1.02,1.20
11489,Team Aqua's Sharpedo (18),Rare,18,1.20,1.99
11490,Team Aqua's Sharpedo (5),Holo Rare,5,15.03,
11491,Team Aqua's Spheal (56),Common,56,0.80,0.50
11492,Team Aqua's Spheal (57),Common,57,1.97,1.61
11493,Team Aqua's Walrein,Holo Rare,6,3.16,
11494,Team Magma Ball,Uncommon,80,0.69,0.59
11495,Team Magma Belt,Uncommon,81,0.74,1.97
11496,Team Magma Conspirator,Uncommon,82,0.51,0.51
11497,Team Magma Hideout,Uncommon,83,0.47,0.49
11498,Team Magma Schemer,Uncommon,70,0.43,0.49
11499,Team Magma Technical Machine 01,Uncommon,84,0.70,1.62
11500,Team Magma's Aggron,Holo Rare,7,5.38,
11501,Team Magma's Aron (58),Common,58,0.44,0.50
11502,Team Magma's Aron (59),Common,59,0.37,0.70
11503,Team Magma's Baltoy (32),Uncommon,32,0.67,1.99
11504,Team Magma's Baltoy (60),Common,60,0.36,0.36
11505,Team Magma's Baltoy (61),Common,61,0.23,0.62
11506,Team Magma's Camerupt,Rare,19,1.74,2.01
11507,Team Magma's Claydol (33),Uncommon,33,0.38,0.45
11508,Team Magma's Claydol (8),Holo Rare,8,9.32,
11509,Team Magma's Groudon,Holo Rare,9,35.23,
11510,Team Magma's Houndoom (10),Holo Rare,10,35.77,
11511,Team Magma's Houndoom (34),Uncommon,34,1.28,1.28
11512,Team Magma's Houndour (35),Uncommon,35,1.06,1.37
11513,Team Magma's Houndour (62),Common,62,0.35,0.45
11514,Team Magma's Houndour (63),Common,63,1.18,1.49
11515,Team Magma's Lairon (20),Rare,20,1.75,1.97
11516,Team Magma's Lairon (36),Uncommon,36,0.38,0.60
11517,Team Magma's Mightyena (21),Rare,21,0.86,0.70
11518,Team Magma's Mightyena (37),Uncommon,37,1.99,
11519,Team Magma's Numel,Common,64,0.44,0.79
11520,Team Magma's Poochyena (65),Common,65,0.77,0.70
11521,Team Magma's Poochyena (66),Common,66,0.48,0.52
11522,Team Magma's Rhydon (11),Holo Rare,11,10.43,
11523,Team Magma's Rhydon (22),Rare,22,1.84,1.95
11524,Team Magma's Rhyhorn (38),Uncommon,38,1.45,1.66
11525,Team Magma's Rhyhorn (67),Common,67,0.55,0.74
11526,Team Magma's Rhyhorn (68),Common,68,0.36,0.35
11527,Team Magma's Torkoal,Holo Rare,12,9.00,
11528,Team Magma's Zangoose,Rare,23,5.76,9.99
11529,Warp Point,Uncommon,85,0.47,0.47
11530,Absol,Holo Rare,1,45.07,
11531,Altaria,Holo Rare,2,25.44,
11532,Ampharos ex,Ultra Rare,89,63.59,
11533,Bagon (23),Uncommon,23,2.12,2.50
11534,Bagon (49),Common,49,0.34,0.34
11535,Bagon (50),Common,50,0.49,0.50
11536,Balloon Berry,Uncommon,82,0.34,0.45
11537,Barboach,Common,51,0.56,0.34
11538,Buffer Piece,Uncommon,83,0.47,0.50
11539,Camerupt,Uncommon,24,0.37,0.39
11540,Charizard,Secret Rare,100,405.55,
11541,Charmander,Secret Rare,98,129.97,
11542,Charmeleon,Secret Rare,99,86.24,
11543,Combusken,Uncommon,25,0.66,0.75
11544,Corphish (52),Common,52,0.32,0.30
11545,Corphish (53),Common,53,0.28,0.41
11546,Corphish (54),Common,54,0.70,0.50
11547,Crawdaunt (13),Rare,13,0.70,0.70
11548,Crawdaunt (3),Holo Rare,3,3.29,
11549,Dragonair,Rare,14,0.94,1.68
11550,Dragonite ex,Ultra Rare,90,94.56,
11551,Dratini,Uncommon,26,1.30,2.13
11552,Energy Recycle System,Uncommon,84,0.54,0.62
11553,Flaaffy,Uncommon,27,1.30,1.29
11554,Flygon (15),Rare,15,0.69,0.74
11555,Flygon (4),Holo Rare,4,20.99,
11556,Forretress,Uncommon,28,1.06,0.89
11557,Geodude (55),Common,55,0.48,0.49
11558,Geodude (56),Common,56,0.44,0.51
11559,Girafarig,Rare,16,0.58,0.67
11560,Golem,Holo Rare,5,21.96,
11561,Golem ex,Ultra Rare,91,45.00,
11562,Graveler (29),Uncommon,29,1.13,2.89
11563,Graveler (30),Uncommon,30,1.00,1.08
11564,Grimer,Common,57,0.33,0.33
11565,Grovyle,Uncommon,31,0.46,1.31
11566,Grumpig,Holo Rare,6,12.87,
11567,Gyarados,Uncommon,32,5.80,9.75
11568,High Pressure System,Uncommon,85,0.48,0.50
11569,Horsea (33),Uncommon,33,0.77,0.82
11570,Horsea (58),Common,58,0.40,0.39
11571,Houndoom,Uncommon,34,1.40,1.39
11572,Houndour,Common,59,0.44,0.58
11573,Kingdra ex,Ultra Rare,92,38.32,
11574,Latias ex,Ultra Rare,93,75.43,
11575,Latios ex,Ultra Rare,94,48.47,
11576,Low Pressure System,Uncommon,86,0.65,0.78
11577,Magcargo ex,Ultra Rare,95,25.34,
11578,Magikarp,Common,60,0.94,0.92
11579,Magnemite (61),Common,61,0.35,0.35
11580,Magnemite (62),Common,62,0.62,0.56
11581,Magnemite (63),Common,63,0.65,0.76
11582,Magneton (17),Rare,17,1.10,1.04
11583,Magneton (35),Uncommon,35,0.37,0.49
11584,Mareep,Common,64,0.58,0.75
11585,Marshtomp,Uncommon,36,1.23,1.45
11586,Meditite,Uncommon,37,0.92,1.54
11587,Minun,Holo Rare,7,30.98,
11588,Mr. Briney's Compassion,Uncommon,87,4.62,9.98
11589,Mudkip,Common,65,0.69,0.70
11590,Muk ex,Ultra Rare,96,50.33,
11591,Nincada (66),Common,66,0.33,0.33
11592,Nincada (67),Common,67,0.36,0.48
11593,Nincada (68),Common,68,0.53,0.56
11594,Ninjask (18),Rare,18,0.63,0.75
11595,Ninjask (38),Uncommon,38,0.38,0.49
11596,Numel,Common,70,0.40,0.43
11597,Numel (69),Common,69,0.27,0.30
11598,Pineco,Common,71,0.50,0.47
11599,Plusle,Holo Rare,8,30.99,
11600,Rayquaza ex,Ultra Rare,97,110.61,
11601,Roselia,Holo Rare,9,3.64,
11602,Salamence (10),Holo Rare,10,53.79,
11603,Salamence (19),Rare,19,0.87,1.74
11604,Seadra (39),Uncommon,39,0.70,0.63
11605,Seadra (40),Uncommon,40,0.41,0.49
11606,Shedinja,Holo Rare,11,29.99,
11607,Shelgon (20),Rare,20,0.72,0.67
11608,Shelgon (41),Uncommon,41,0.58,0.70
11609,Shelgon (42),Uncommon,42,1.37,1.46
11610,Shuppet,Uncommon,43,1.71,2.24
11611,Skarmory,Rare,21,0.62,0.72
11612,Slugma,Common,72,0.29,0.32
11613,Snorunt,Uncommon,44,1.51,1.50
11614,Spoink (73),Common,73,0.28,0.29
11615,Spoink (74),Common,74,0.55,0.67
11616,Swablu,Common,75,0.54,0.56
11617,Swellow,Uncommon,45,0.96,0.75
11618,Taillow,Common,76,0.38,0.47
11619,Torchic,Common,77,0.70,0.99
11620,Torkoal,Holo Rare,12,17.65,
11621,Trapinch (78),Common,78,0.35,0.35
11622,Trapinch (79),Common,79,0.65,0.59
11623,Treecko,Common,80,0.44,0.47
11624,TV Reporter,Uncommon,88,0.40,0.50
11625,Vibrava (22),Rare,22,0.93,0.80
11626,Vibrava (46),Uncommon,46,1.11,1.39
11627,Vibrava (47),Uncommon,47,0.60,0.52
11628,Whiscash,Uncommon,48,1.52,1.99
11629,Wurmple,Common,81,0.75,0.50
11630,Aipom,Common,67,1.28,2.99
11631,Ampharos,Rare,1,13.15,18.47
11632,Ampharos (H1),Holo Rare,H1,141.91,
11633,Apricorn Forest,Rare,118,4.14,4.57
11634,Arcanine,Rare,2,60.25,89.48
11635,Arcanine (H2),Holo Rare,H2,200.00,
11636,Ariados,Rare,3,2.78,3.50
11637,Ariados (H3),Holo Rare,H3,77.99,
11638,Azumarill,Rare,4,5.73,12.95
11639,Azumarill (H4),Holo Rare,H4,100.00,
11640,Bellossom,Rare,5,5.44,9.99
11641,Bellossom (H5),Holo Rare,H5,76.99,
11642,Bellsprout (45),Uncommon,45,4.29,4.89
11643,Bellsprout (68),Common,68,1.93,2.95
11644,Blissey,Rare,6,2.58,5.00
11645,Blissey (H6),Holo Rare,H6,43.33,
11646,Boost Energy,Uncommon,145,2.92,6.50
11647,Chansey,Common,69,1.51,2.92
11648,Chinchou (70),Common,70,1.61,3.05
11649,Chinchou (71),Common,71,1.07,3.00
11650,Crystal Energy,Uncommon,146,3.21,13.99
11651,Cubone,Common,72,2.35,4.96
11652,Darkness Cube 01,Uncommon,119,1.32,2.99
11653,Darkness Energy (Special),Rare,142,6.90,12.97
11654,Dodrio,Uncommon,46,3.42,7.85
11655,Doduo,Common,73,1.18,3.00
11656,Donphan,Rare,7,9.14,18.95
11657,Drowzee (74a),Common,74a,1.38,3.00
11658,Drowzee (74b),Common,74b,1.46,2.34
11659,Eevee,Common,75,12.27,49.95
11660,Electrode,Rare,8,4.40,5.00
11661,Electrode (H7),Holo Rare,H7,49.14,
11662,Elekid,Rare,9,6.66,8.47
11663,Energy Switch,Uncommon,120,6.33,11.48
11664,Entei,Rare,10,18.22,
11665,Entei (H8),Holo Rare,H8,213.74,
11666,Espeon,Rare,11,46.12,
11667,Espeon (H9),Holo Rare,H9,134.97,
11668,Exeggcute (76),Common,76,0.79,2.00
11669,Exeggcute (77),Common,77,1.54,2.98
11670,Exeggutor (12),Rare,12,2.78,8.99
11671,Exeggutor (13),Rare,13,8.75,14.99
11672,Exeggutor (H10),Holo Rare,H10,75.00,
11673,Fighting Cube 01,Uncommon,121,1.07,1.99
11674,Fire Cube 01,Uncommon,122,1.21,1.99
11675,Flaaffy,Uncommon,47,6.38,9.70
11676,Forest Guardian,Uncommon,123,0.66,1.22
11677,Furret,Uncommon,48,19.83,44.97
11678,Gloom,Uncommon,49,6.06,11.99
11679,Goldeen,Common,78,1.17,2.99
11680,Golduck (50a),Uncommon,50a,3.66,7.75
11681,Golduck (50b),Uncommon,50b,5.27,8.49
11682,Grass Cube 01,Uncommon,124,1.47,3.91
11683,Grimer,Common,79,1.93,5.10
11684,Growlithe (51),Uncommon,51,9.21,14.99
11685,Growlithe (80),Common,80,3.83,4.55
11686,Healing Berry,Uncommon,125,1.17,1.97
11687,Hitmonchan,Common,81,2.38,6.97
11688,Hitmontop,Common,82,1.13,3.70
11689,Hoppip,Common,83,1.29,1.99
11690,Horsea (84),Common,84,0.84,1.55
11691,Horsea (85),Common,85,2.48,3.85
11692,Houndoom (14),Rare,14,25.56,36.00
11693,Houndoom (15),Rare,15,33.24,37.49
11694,Houndoom (H11),Holo Rare,H11,302.50,
11695,Houndour (86),Common,86,1.36,4.50
11696,Houndour (87),Common,87,1.47,4.00
11697,Hypno,Rare,16,9.76,32.50
11698,Hypno (H12),Holo Rare,H12,100.00,
11699,Juggler,Uncommon,126,1.33,1.50
11700,Jumpluff,Rare,17,5.30,5.99
11701,Jumpluff (H13),Holo Rare,H13,79.95,
11702,Jynx,Rare,18,4.34,14.99
11703,Kangaskhan,Common,88,1.91,3.99
11704,Kingdra (148),Secret Rare,148,186.26,
11705,Kingdra (19),Rare,19,5.08,14.95
11706,Kingdra (H14),Holo Rare,H14,175.00,
11707,Lanturn,Rare,21,10.20,13.99
11708,Lanturn (20),Rare,20,11.12,15.48
11709,Lanturn (H15),Holo Rare,H15,58.25,
11710,Larvitar,Common,89,2.20,4.99
11711,Lickitung,Common,90,1.79,4.79
11712,Lightning Cube 01,Uncommon,127,0.95,1.99
11713,Lugia,Secret Rare,149,490.00,
11714,Magnemite (52),Uncommon,52,5.77,5.00
11715,Magnemite (91),Common,91,1.71,4.99
11716,Magneton,Rare,22,4.42,6.49
11717,Magneton (H16),Holo Rare,H16,89.84,
11718,Mankey,Common,92,1.74,3.74
11719,Mareep,Common,93,1.23,2.87
11720,Marill,Uncommon,53,4.51,6.00
11721,Marowak,Uncommon,54,2.12,4.92
11722,Memory Berry,Uncommon,128,1.45,2.99
11723,Metal Cube 01,Uncommon,129,1.16,2.25
11724,Metal Energy (Special),Rare,143,7.47,7.98
11725,Miltank,Common,94,1.16,3.00
11726,Mr. Mime (95a),Common,95a,1.17,2.75
11727,Mr. Mime (95b),Common,95b,1.61,3.10
11728,Muk,Rare,23,4.00,5.75
11729,Muk (H17),Holo Rare,H17,69.99,
11730,Nidoking (150),Secret Rare,150,325.00,
11731,Nidoking (24),Rare,24,8.64,10.50
11732,Nidoking (H18),Holo Rare,H18,149.99,
11733,Nidoran M,Common,96,1.19,2.00
11734,Nidorino,Uncommon,55,1.34,3.00
11735,Ninetales,Rare,25,10.90,13.99
11736,Ninetales (H19),Holo Rare,H19,159.99,
11737,Octillery,Rare,26,5.04,5.99
11738,Octillery (H20),Holo Rare,H20,92.48,
11739,Oddish,Common,97,1.74,4.99
11740,Onix,Common,98,1.46,2.99
11741,Paras,Common,99,1.20,3.00
11742,Parasect,Rare,27,2.79,6.75
11743,Phanpy,Common,100,2.32,3.49
11744,Pinsir,Common,101,1.19,4.25
11745,Pokemon Fan Club,Uncommon,130,1.71,4.00
11746,Pokemon Park,Uncommon,131,2.28,4.00
11747,Ponyta,Common,102,2.23,3.10
11748,Porygon (103a),Common,103a,1.05,1.44
11749,Porygon (103b),Common,103b,1.74,3.40
11750,Porygon2,Rare,28,2.29,4.10
11751,Power Plant,Uncommon,139,4.18,4.25
11752,Primeape,Rare,29,11.04,18.99
11753,Psychic Cube 01,Uncommon,132,0.94,1.96
11754,Psyduck,Common,104,13.98,99.00
11755,Pupitar,Uncommon,56,6.07,7.65
11756,Quagsire,Rare,30,11.54,15.95
11757,Rainbow Energy,Rare,144,29.99,49.97
11758,Rapidash,Rare,31,7.98,8.99
11759,Remoraid,Common,105,0.93,2.99
11760,Scizor,Rare,32,31.31,62.47
11761,Scizor (H21),Holo Rare,H21,95.95,
11762,Scyther (106),Common,106,5.36,11.00
11763,Scyther (57),Uncommon,57,12.41,14.99
11764,Seadra,Uncommon,58,1.22,3.09
11765,Seaking,Uncommon,59,3.09,4.99
11766,Seer,Uncommon,133,1.48,4.89
11767,Sentret,Common,107,1.50,2.99
11768,Skiploom,Uncommon,60,4.69,6.90
11769,Slowbro,Rare,33,18.39,29.93
11770,Slowking,Rare,34,7.79,19.95
11771,Slowking (H22),Holo Rare,H22,99.53,
11772,Slowpoke,Common,108,2.09,4.68
11773,Smeargle,Common,109,1.28,3.00
11774,Smoochum,Uncommon,61,4.29,6.74
11775,Sneasel,Common,110,1.38,4.29
11776,Spinarak (111),Common,111,0.66,1.70
11777,Spinarak (62),Uncommon,62,4.48,4.62
11778,Steelix,Rare,35,12.23,24.99
11779,Steelix (H23),Holo Rare,H23,162.50,
11780,Sudowoodo,Rare,36,15.74,21.95
11781,Sudowoodo (H24),Holo Rare,H24,88.21,
11782,Suicune,Rare,37,15.74,54.95
11783,Suicune (H25),Holo Rare,H25,209.99,
11784,Super Energy Removal 2,Uncommon,134,1.30,1.99
11785,Tangela,Common,112,1.55,4.99
11786,Tentacool,Common,113,0.74,1.75
11787,Tentacruel,Rare,38,3.83,7.87
11788,Tentacruel (H26),Holo Rare,H26,129.99,
11789,Time Shard,Uncommon,135,1.24,2.49
11790,Togepi,Common,114,2.36,5.13
11791,Togetic,Rare,39,5.43,8.98
11792,Togetic (H27),Holo Rare,H27,149.09,
11793,Town Volunteers,Uncommon,136,2.26,3.99
11794,Traveling Salesman,Uncommon,137,1.10,4.95
11795,Tyranitar,Rare,40,22.98,74.95
11796,Tyranitar (H28),Holo Rare,H28,299.95,
11797,Tyrogue,Uncommon,63,3.21,5.25
11798,Umbreon,Rare,41,40.87,46.18
11799,Umbreon (H29),Holo Rare,H29,325.00,
11800,Undersea Ruins,Uncommon,138,2.79,3.99
11801,Victreebel,Rare,42,4.69,5.87
11802,Victreebel (H30),Holo Rare,H30,76.89,
11803,Vileplume,Rare,43,2.59,5.50
11804,Vileplume (H31),Holo Rare,H31,36.16,
11805,Voltorb (115),Common,115,1.46,4.39
11806,Voltorb (64),Uncommon,64,2.97,6.00
11807,Vulpix,Common,116,1.64,3.00
11808,Warp Energy,Uncommon,147,5.61,11.23
11809,Water Cube 01,Uncommon,140,1.18,2.00
11810,Weakness Guard,Uncommon,141,2.09,2.15
11811,Weepinbell,Uncommon,65,3.36,4.74
11812,Wooper (117),Common,117,3.51,6.45
11813,Wooper (66),Uncommon,66,5.94,15.99
11814,Zapdos,Rare,44,13.41,74.98
11815,Zapdos (H32),Holo Rare,H32,183.24,
11816,Dark Ivysaur,Promo,6,7.59,10.00
11817,Dark Ivysaur (Winner),Promo,6,29.51,330.48
11818,Dark Venusaur,Promo,7,32.75,41.90
11819,Dark Venusaur (Winner),Promo,7,50.12,89.99
11820,Electabuzz,Promo,1,14.46,
11821,Electabuzz (Winner),Promo,1,38.19,
11822,Hitmonchan,Promo,2,13.47,
11823,Hitmonchan (Winner),Promo,2,53.49,
11824,Professor Elm,Promo,3,20.98,
11825,Rocket's Hitmonchan (Winner),Promo,9,58.74,
11826,Rocket's Mewtwo (Winner),Promo,8,129.97,
11827,Rocket's Scizor,Promo,4,6.42,8.77
11828,Rocket's Scizor (Winner),Promo,4,17.25,17.47
11829,Rocket's Sneasel,Promo,5,2.64,7.18
